sample_alias	file_stable_id	archive_ebi_fullpath
gonl-1a	EGAF00000513917	/fire/A/ega/vol1/EGAR00001189725/fastq/110120_I171_FC819BGABXX_L1_HUMjxbRPPDIAAPE_1.fq.gz.gpg
gonl-1a	EGAF00000513918	/fire/A/ega/vol1/EGAR00001189725/fastq/110120_I171_FC819BGABXX_L1_HUMjxbRPPDIAAPE_2.fq.gz.gpg
gonl-1a	EGAF00000513919	/fire/A/ega/vol1/EGAR00001189725/fastq/110120_I186_FC819BEABXX_L7_HUMjxbRPPDIABPE_1.fq.gz.gpg
gonl-1a	EGAF00000513920	/fire/A/ega/vol1/EGAR00001189725/fastq/110120_I186_FC819BEABXX_L7_HUMjxbRPPDIABPE_2.fq.gz.gpg
gonl-1a	EGAF00000513921	/fire/A/ega/vol1/EGAR00001189725/fastq/110213_I283_FC81EUTABXX_L8_HUMjxbRPPDIABPE_1.fq.gz.gpg
gonl-1a	EGAF00000513922	/fire/A/ega/vol1/EGAR00001189725/fastq/110213_I283_FC81EUTABXX_L8_HUMjxbRPPDIABPE_2.fq.gz.gpg
gonl-1b	EGAF00000513923	/fire/A/ega/vol1/EGAR00001189726/fastq/110117_I160_FC81997ABXX_L7_HUMjxbRPQDIAAPE_1.fq.gz.gpg
gonl-1b	EGAF00000513924	/fire/A/ega/vol1/EGAR00001189726/fastq/110117_I160_FC81997ABXX_L7_HUMjxbRPQDIAAPE_2.fq.gz.gpg
gonl-1b	EGAF00000513925	/fire/A/ega/vol1/EGAR00001189726/fastq/110120_I186_FC819BEABXX_L8_HUMjxbRPQDIABPE_1.fq.gz.gpg
gonl-1b	EGAF00000513926	/fire/A/ega/vol1/EGAR00001189726/fastq/110120_I186_FC819BEABXX_L8_HUMjxbRPQDIABPE_2.fq.gz.gpg
gonl-1b	EGAF00000513927	/fire/A/ega/vol1/EGAR00001189726/fastq/110213_I290_FC81EPHABXX_L3_HUMjxbRPQDIABPE_1.fq.gz.gpg
gonl-1b	EGAF00000513928	/fire/A/ega/vol1/EGAR00001189726/fastq/110213_I290_FC81EPHABXX_L3_HUMjxbRPQDIABPE_2.fq.gz.gpg
gonl-1c	EGAF00000513929	/fire/A/ega/vol1/EGAR00001189727/fastq/110117_I160_FC81997ABXX_L8_HUMjxbRPRDIAAPE_1.fq.gz.gpg
gonl-1c	EGAF00000513930	/fire/A/ega/vol1/EGAR00001189727/fastq/110117_I160_FC81997ABXX_L8_HUMjxbRPRDIAAPE_2.fq.gz.gpg
gonl-1c	EGAF00000513931	/fire/A/ega/vol1/EGAR00001189727/fastq/110213_I290_FC81EPHABXX_L6_HUMjxbRPRDIAAPE_1.fq.gz.gpg
gonl-1c	EGAF00000513932	/fire/A/ega/vol1/EGAR00001189727/fastq/110213_I290_FC81EPHABXX_L6_HUMjxbRPRDIAAPE_2.fq.gz.gpg
gonl-1c	EGAF00000513933	/fire/A/ega/vol1/EGAR00001189727/fastq/110123_I295_FC819BDABXX_L1_HUMjxbRPRDIABPE_1.fq.gz.gpg
gonl-1c	EGAF00000513934	/fire/A/ega/vol1/EGAR00001189727/fastq/110123_I295_FC819BDABXX_L1_HUMjxbRPRDIABPE_2.fq.gz.gpg
gonl-2a	EGAF00000516871	/fire/A/ega/vol1/EGAR00001190217/fastq/101127_I317_FC80C9HABXX_L6_HUMhxsRNZDIAAPE_1.fq.gz.gpg
gonl-2a	EGAF00000516872	/fire/A/ega/vol1/EGAR00001190217/fastq/101127_I317_FC80C9HABXX_L6_HUMhxsRNZDIAAPE_2.fq.gz.gpg
gonl-2a	EGAF00000516873	/fire/A/ega/vol1/EGAR00001190217/fastq/101127_I317_FC80C9HABXX_L5_HUMhxsRNZDIABPE_1.fq.gz.gpg
gonl-2a	EGAF00000516874	/fire/A/ega/vol1/EGAR00001190217/fastq/101127_I317_FC80C9HABXX_L5_HUMhxsRNZDIABPE_2.fq.gz.gpg
gonl-2a	EGAF00000516875	/fire/A/ega/vol1/EGAR00001190217/fastq/101125_I126_FC80C95ABXX_L3_HUMhxsRNZDIBAPE_1.fq.gz.gpg
gonl-2a	EGAF00000516876	/fire/A/ega/vol1/EGAR00001190217/fastq/101125_I126_FC80C95ABXX_L3_HUMhxsRNZDIBAPE_2.fq.gz.gpg
gonl-2b	EGAF00000516877	/fire/A/ega/vol1/EGAR00001190218/fastq/101127_I317_FC80C9HABXX_L7_HUMhxsROADIAAPE_1.fq.gz.gpg
gonl-2b	EGAF00000516878	/fire/A/ega/vol1/EGAR00001190218/fastq/101127_I317_FC80C9HABXX_L7_HUMhxsROADIAAPE_2.fq.gz.gpg
gonl-2b	EGAF00000516879	/fire/A/ega/vol1/EGAR00001190218/fastq/101127_I317_FC80C9HABXX_L8_HUMhxsROADIABPE_1.fq.gz.gpg
gonl-2b	EGAF00000516880	/fire/A/ega/vol1/EGAR00001190218/fastq/101127_I317_FC80C9HABXX_L8_HUMhxsROADIABPE_2.fq.gz.gpg
gonl-2b	EGAF00000516881	/fire/A/ega/vol1/EGAR00001190218/fastq/101125_I126_FC80C95ABXX_L4_HUMhxsROADIBAPE_1.fq.gz.gpg
gonl-2b	EGAF00000516882	/fire/A/ega/vol1/EGAR00001190218/fastq/101125_I126_FC80C95ABXX_L4_HUMhxsROADIBAPE_2.fq.gz.gpg
gonl-2c	EGAF00000516883	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L6_HUMhxsROBDIAAPE_1.fq.gz.gpg
gonl-2c	EGAF00000516884	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L6_HUMhxsROBDIAAPE_2.fq.gz.gpg
gonl-2c	EGAF00000516885	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L4_HUMhxsROBDIABPE_1.fq.gz.gpg
gonl-2c	EGAF00000516886	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L4_HUMhxsROBDIABPE_2.fq.gz.gpg
gonl-2c	EGAF00000516887	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L5_HUMhxsROBDIBAPE_1.fq.gz.gpg
gonl-2c	EGAF00000516888	/fire/A/ega/vol1/EGAR00001190219/fastq/101130_I119_FC80AB9ABXX_L5_HUMhxsROBDIBAPE_2.fq.gz.gpg
gonl-3a	EGAF00000516691	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I436_FC80E4BABXX_L6_HUMhxsRGJDIAAPE_1.fq.gz.gpg
gonl-3a	EGAF00000516692	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I436_FC80E4BABXX_L6_HUMhxsRGJDIAAPE_2.fq.gz.gpg
gonl-3a	EGAF00000516693	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I441_FC80H6EABXX_L4_HUMhxsRGJDIABPE_1.fq.gz.gpg
gonl-3a	EGAF00000516694	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I441_FC80H6EABXX_L4_HUMhxsRGJDIABPE_2.fq.gz.gpg
gonl-3a	EGAF00000516695	/fire/A/ega/vol1/EGAR00001190187/fastq/101112_I283_FC80E4YABXX_L4_HUMhxsRGJDIBAPE_1.fq.gz.gpg
gonl-3a	EGAF00000516696	/fire/A/ega/vol1/EGAR00001190187/fastq/101112_I283_FC80E4YABXX_L4_HUMhxsRGJDIBAPE_2.fq.gz.gpg
gonl-3b	EGAF00000516697	/fire/A/ega/vol1/EGAR00001190188/fastq/101110_I436_FC80E4BABXX_L7_HUMhxsRGKDIAAPE_1.fq.gz.gpg
