task_id	hash	native_id	name	exit	duration	realtime	%cpu	%mem	rss	vmem	rchar	wchar
9	d8/ac5cd5	66238	1_quality_control (gonl-16c_110121_I288_FC81DE8ABXX_L3)	0	20.8s	16.1s	57.7%	0.8%	135.8 MB	2.5 GB	32.6 MB	1.1 MB
17	98/f3d3e5	65956	2_align_and_sort (gonl-16c_110121_I288_FC81DE8ABXX_L3)	0	8.4s	4.1s	44.2%	0.1%	11.8 MB	194 MB	5.7 MB	1.1 MB
12	79/0d2975	66198	2_align_and_sort (gonl-16a_110105_I186_FC812MWABXX_L8)	0	10.1s	6s	30.2%	0.1%	11.9 MB	194 MB	5.2 MB	95 B
4	1f/4dfb4a	66362	1_quality_control (gonl-16a_110105_I186_FC812MWABXX_L8)	0	14.2s	10.2s	186.4%	0.7%	118.6 MB	2.5 GB	32.4 MB	843.6 KB
6	de/86d56c	66294	1_quality_control (gonl-16b_110128_I481_FC819P0ABXX_L5)	0	20.3s	15.2s	61.2%	0.9%	143 MB	2.5 GB	22.6 MB	1.1 MB
5	d1/78092b	66266	1_quality_control (gonl-16b_101231_I329_FC810JVABXX_L4)	0	20.2s	16s	63.4%	0.8%	139.2 MB	2.5 GB	22.5 MB	949.9 KB
2	46/9d142d	65929	1_quality_control (gonl-16a_101231_I305_FC810N3ABXX_L7)	0	19.6s	15.2s	104.2%	1.0%	158.4 MB	2.5 GB	25.2 MB	1.2 MB
13	1e/1aa402	66430	2_align_and_sort (gonl-16b_101231_I329_FC810JVABXX_L4)	0	9.8s	4.5s	36.0%	0.1%	12 MB	194 MB	5.2 MB	95 B
10	71/336779	66064	2_align_and_sort (gonl-16a_101231_I305_FC810N3ABXX_L7)	0	8.7s	4.4s	20.9%	0.1%	11.9 MB	258 MB	5.2 MB	95 B
3	70/bb0a99	65932	1_quality_control (gonl-16a_110122_I329_FC81DB5ABXX_L6)	0	20.1s	15.6s	63.8%	0.9%	149.1 MB	2.5 GB	22.6 MB	1.1 MB
8	bc/20198f	65924	1_quality_control (gonl-16c_110101_I315_FC816RLABXX_L1)	0	20.3s	15.7s	66.4%	0.9%	145 MB	2.5 GB	22.7 MB	1.2 MB
16	84/0c5ca5	65985	2_align_and_sort (gonl-16c_110101_I315_FC816RLABXX_L1)	0	9.4s	3.9s	46.2%	0.1%	11.5 MB	194 MB	5.2 MB	95 B
7	d5/d0cf7f	65962	1_quality_control (gonl-16b_101231_I329_FC810JVABXX_L2)	0	20.4s	14.7s	61.2%	0.9%	143.9 MB	2.5 GB	32.7 MB	1.1 MB
15	8d/d33867	66390	2_align_and_sort (gonl-16b_101231_I329_FC810JVABXX_L2)	0	10s	4s	55.5%	0.1%	11.9 MB	194 MB	5.7 MB	1.1 MB
11	20/b09c93	66322	2_align_and_sort (gonl-16a_110122_I329_FC81DB5ABXX_L6)	0	8.2s	4.5s	90.2%	0.1%	11.8 MB	194 MB	5.2 MB	575.2 KB
14	d8/6bfd8c	65942	2_align_and_sort (gonl-16b_110128_I481_FC819P0ABXX_L5)	0	8.2s	4.4s	124.1%	0.1%	12.5 MB	258 MB	5.2 MB	579.3 KB
20	b2/0d03ae	66894	1_quality_control (gonl-25a_100812_I160_FC20842ABXX_L4)	0	19.5s	15.8s	105.4%	0.8%	131.6 MB	2.5 GB	22.5 MB	975.8 KB
18	ec/1eee8c	66642	1_quality_control (gonl-16c_101231_I327_FC810L2ABXX_L6)	0	21.6s	17.6s	61.5%	0.9%	142.3 MB	2.5 GB	32.5 MB	933.2 KB
28	69/06f017	67450	2_align_and_sort (gonl-25b_100826_I176_FC804L3ABXX_L8)	0	8.3s	6s	25.0%	0.1%	11.9 MB	194 MB	5.1 MB	95 B
21	d9/cbae86	66922	1_quality_control (gonl-25a_100826_I176_FC804L3ABXX_L5)	0	19.6s	17.1s	54.8%	0.9%	147.1 MB	2.5 GB	22.4 MB	1021.1 KB
23	0f/c4581b	66498	1_quality_control (gonl-25b_100826_I176_FC804L3ABXX_L8)	0	12.4s	10.6s	118.8%	0.9%	143.1 MB	2.5 GB	32.4 MB	721.4 KB
32	02/37abd4	66752	2_align_and_sort (gonl-25b_100826_I176_FC804L3ABXX_L7)	0	10.2s	6s	25.0%	0.1%	12.4 MB	194 MB	5.1 MB	95 B
25	fc/31fd31	66532	2_align_and_sort (gonl-25a_100812_I160_FC20842ABXX_L4)	0	11s	4.4s	32.4%	0.1%	12.3 MB	258 MB	5.2 MB	272.5 KB
22	06/640964	66724	1_quality_control (gonl-25a_100826_I176_FC804L3ABXX_L6)	0	24.3s	18.6s	67.9%	0.9%	149.8 MB	2.5 GB	22.9 MB	1.7 MB
